company_id,year,cfo_sign,cfi_sign,cff_sign,pattern_label
HAVELLS,2013-03,+,-,-,Shareholder Returns
HAVELLS,2014-03,+,-,-,Shareholder Returns
HAVELLS,2015-03,+,-,+,Mixed
HAVELLS,2016-03,+,-,-,Shareholder Returns
HAVELLS,2017-03,+,-,-,Shareholder Returns
HAVELLS,2018-03,+,-,-,Shareholder Returns
HAVELLS,2019-03,+,-,+,Mixed
HAVELLS,2020-03,+,-,-,Shareholder Returns
HAVELLS,2021-03,+,-,-,Shareholder Returns
HAVELLS,2022-03,+,-,-,Shareholder Returns
HAVELLS,2023-03,+,-,-,Shareholder Returns
HAVELLS,2024-03,+,-,-,Shareholder Returns
HCLTECH,2011-03,+,-,-,Shareholder Returns
HCLTECH,2012-03,+,-,+,Mixed
HCLTECH,2013-03,+,-,+,Mixed
HCLTECH,2014-03,+,-,-,Shareholder Returns
HCLTECH,2015-03,+,-,-,Shareholder Returns
HCLTECH,2016-03,+,-,-,Shareholder Returns
HCLTECH,2017-03,+,-,-,Shareholder Returns
HCLTECH,2018-03,+,-,+,Mixed
HCLTECH,2019-03,+,-,+,Mixed
HCLTECH,2020-03,+,-,-,Shareholder Returns
HCLTECH,2021-03,+,-,-,Shareholder Returns
HCLTECH,2022-03,+,-,-,Shareholder Returns
HCLTECH,2023-03,+,-,+,Mixed
HCLTECH,2024-03,+,-,-,Shareholder Returns
HDFCBANK,2011-03,+,-,-,Shareholder Returns
HDFCBANK,2013-03,+,-,+,Mixed
HDFCBANK,2014-03,+,-,-,Shareholder Returns
HDFCBANK,2015-03,+,-,-,Shareholder Returns
HDFCBANK,2016-03,+,-,-,Shareholder Returns
HDFCBANK,2017-03,+,-,-,Reinvestor
HDFCBANK,2018-03,+,-,-,Shareholder Returns
HDFCBANK,2019-03,+,-,-,Shareholder Returns
HDFCBANK,2020-03,+,-,-,Shareholder Returns
HDFCBANK,2022-03,+,-,-,Shareholder Returns
HDFCBANK,2023-03,+,-,+,Mixed
HDFCBANK,2024-03,+,-,-,Shareholder Returns
HDFCLIFE,2012-03,+,-,-,Shareholder Returns
HDFCLIFE,2013-03,+,-,+,Mixed
HDFCLIFE,2015-03,+,-,-,Shareholder Returns
HDFCLIFE,2016-03,+,-,-,Shareholder Returns
HDFCLIFE,2017-03,+,-,-,Shareholder Returns
HDFCLIFE,2018-03,+,-,-,Shareholder Returns
HDFCLIFE,2019-03,+,-,-,Reinvestor
HDFCLIFE,2020-03,+,-,+,Mixed
HDFCLIFE,2021-03,+,-,-,Shareholder Returns
HDFCLIFE,2022-03,+,-,-,Shareholder Returns
HDFCLIFE,2023-03,+,-,-,Shareholder Returns
HDFCLIFE,2024-03,+,-,-,Reinvestor
HEROMOTOCO,2013-03,+,-,+,Mixed
HEROMOTOCO,2014-03,+,-,-,Shareholder Returns
HEROMOTOCO,2015-03,+,-,-,Shareholder Returns
HEROMOTOCO,2016-03,+,-,-,Shareholder Returns
HEROMOTOCO,2017-03,+,-,+,Mixed
HEROMOTOCO,2018-03,+,-,-,Shareholder Returns
HEROMOTOCO,2020-03,+,-,-,Reinvestor
HEROMOTOCO,2021-03,+,-,-,Shareholder Returns
HEROMOTOCO,2022-03,+,-,+,Mixed
HEROMOTOCO,2023-03,+,-,-,Shareholder Returns
HEROMOTOCO,2024-03,+,-,-,Shareholder Returns
HINDALCO,2013-03,+,-,-,Shareholder Returns
HINDALCO,2014-03,+,-,-,Shareholder Returns
HINDALCO,2015-03,+,-,-,Shareholder Returns
HINDALCO,2016-03,+,-,+,Mixed
HINDALCO,2017-03,+,-,-,Shareholder Returns
HINDALCO,2018-03,+,-,-,Shareholder Returns
HINDALCO,2019-03,+,-,-,Shareholder Returns
HINDALCO,2020-03,+,-,-,Reinvestor
HINDALCO,2021-03,+,-,+,Mixed
HINDALCO,2022-03,+,-,+,Mixed
HINDALCO,2023-03,+,-,-,Shareholder Returns
HINDALCO,2024-03,+,-,-,Shareholder Returns
HINDPETRO,2011-03,+,-,+,Mixed
HINDPETRO,2012-03,+,-,-,Shareholder Returns
HINDPETRO,2013-03,+,-,-,Shareholder Returns
HINDPETRO,2014-03,+,-,-,Shareholder Returns
HINDPETRO,2015-03,+,-,+,Mixed
HINDPETRO,2016-03,+,-,-,Shareholder Returns
HINDPETRO,2017-03,+,-,+,Mixed
HINDPETRO,2018-03,+,-,+,Mixed
HINDPETRO,2019-03,+,-,-,Shareholder Returns
HINDPETRO,2020-03,+,-,-,Shareholder Returns
HINDPETRO,2021-03,+,-,+,Mixed
HINDPETRO,2022-03,+,-,-,Reinvestor
HINDPETRO,2023-03,+,-,+,Mixed
HINDPETRO,2024-03,+,-,+,Mixed
HINDUNILVR,2011-03,+,-,-,Shareholder Returns
HINDUNILVR,2012-03,+,-,-,Reinvestor
HINDUNILVR,2013-03,+,-,-,Shareholder Returns
HINDUNILVR,2014-03,+,-,-,Shareholder Returns
HINDUNILVR,2015-03,+,-,-,Shareholder Returns
